,Year,Company,Category,Market Cap(in B USD),Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity,Number of Employees,Inflation Rate(in US),Total Assets,Asset Turnover,Total Debt,Operating Margin,P/E Ratio,P/B Ratio
68,2020,PCG,Manufacturing,24.1,18469.0,14571.0,-1318.0,-1.05,5223.0,21253.0,-19130.0,-7748.0,25928.0,0.707,1.9227,-6.1356,-1.3326,-2.2275,-7.1363,-18.5013,-6.1356,24000,1.2336,62116.143099999994,0.2973301154623685,40863.1431,0.2827982023931994,-18.28528072837633,1.1339575589328565
71,2017,PCG,Manufacturing,12.32,17135.0,12080.0,1646.0,3.21,5759.0,19472.0,5977.0,-5650.0,-55.0,0.881,0.9824,8.5251,2.4407,4.4594,9.6061,3.2498,8.5251,23000,2.1301,38601.2928,0.4438970499972477,19129.2928,0.33609571053399473,7.484811664641556,0.6327033689400164
72,2016,PCG,Manufacturing,23.06,17666.0,12286.0,1393.0,2.78,4835.0,18192.0,4409.0,-5753.0,1171.0,0.8149,1.0134,7.7342,2.0511,4.0887,7.8852,0.2656,7.7342,24000,1.2616,36627.7728,0.48231160809209783,18435.772800000002,0.27368957319144116,16.554199569274946,1.267590149516271
73,2015,PCG,Manufacturing,30.73,16833.0,11071.0,874.0,1.79,4120.0,16828.0,3780.0,-5211.0,1403.0,0.9136,1.0164,5.2769,1.4043,2.7112,5.1922,-0.4285,5.2769,23000,0.1186,33931.9792,0.4960807001791395,17103.979199999998,0.24475732192716687,35.160183066361554,1.8261231281198003
74,2014,PCG,Manufacturing,26.09,17090.0,10521.0,1436.0,3.06,4883.0,16000.0,3690.0,-4714.0,879.0,1.0792,0.9802,9.0625,2.4116,4.6699,8.4026,1.5681,9.0625,22581,1.6222,31683.2,0.5394025855974144,15683.199999999999,0.28572264482153303,18.168523676880223,1.630625
75,2013,PCG,Manufacturing,25.29,15598.0,9614.0,814.0,1.83,3839.0,14594.0,3427.0,-5107.0,1575.0,0.7977,1.0127,5.6736,1.4891,3.0317,5.2186,-4.6071,5.6736,21166,1.4648,29373.343799999995,0.5310256845868533,14779.343799999999,0.2461212976022567,31.06879606879607,1.7329039331232012
76,2012,PCG,Manufacturing,18.1,15040.0,10017.0,816.0,1.92,3965.0,13326.0,4882.0,-4526.0,-468.0,0.8186,1.0062,6.2284,1.5825,3.2117,5.4255,1.3509,6.2284,20593,2.0693,26734.621199999998,0.5625664148179516,13408.6212,0.26363031914893614,22.181372549019606,1.3582470358697283
77,2011,PCG,Manufacturing,17.14,14956.0,9623.0,844.0,2.1,4157.0,12353.0,3739.0,-3986.0,469.0,0.8362,1.1241,6.9457,1.7246,3.5574,5.6432,0.7766,6.9457,19274,3.1568,26239.007300000005,0.5699910758437876,13886.007300000001,0.2779486493714897,20.308056872037916,1.3875172022990367
78,2010,PCG,Manufacturing,16.73,13841.0,8652.0,1099.0,2.82,4213.0,11534.0,3206.0,-3857.0,415.0,0.7713,1.1613,9.6497,2.4183,4.8681,7.9402,0.8604,9.6497,19424,1.64,24928.434199999996,0.5552294174978708,13394.4342,0.30438552127736435,15.222929936305732,1.4504941910872204
79,2009,PCG,Manufacturing,18.76,13399.0,8397.0,1220.0,3.2,4051.0,10585.0,3039.0,-3336.0,605.0,0.8303,1.2063,11.658,2.8734,5.6624,9.1052,-2.3808,11.658,19425,-0.3555,23353.685499999996,0.5737424185146281,12768.6855,0.30233599522352417,15.37704918032787,1.7723193197921587
80,2018,SHLDQ,Finance,0.04,16702.0,3527.0,-383.0,-3.57,-52.0,-3723.0,-1842.0,1894.0,-2.0,0.7756,-1.1099,10.2874,-5.274,25.9837,-2.2931,3.0663,7.4225,89900,2.4426,409.15770000000043,40.82044649288033,4132.157700000001,-0.0031133995928631303,-0.10443864229765012,-0.010744023636852002
87,2011,SHLDQ,Finance,3.39,42664.0,11664.0,133.0,1.19,1306.0,8614.0,123.0,-406.0,-95.0,1.3375,0.3707,1.6137,0.5706,1.2685,0.3117,-12.4078,3.2868,280000,3.1568,11807.2098,3.6133854418340223,3193.2097999999996,0.030611288205512843,25.48872180451128,0.3935453912235895
88,2010,SHLDQ,Finance,8.22,43360.0,11986.0,235.0,1.99,1561.0,9435.0,1507.0,-172.0,-951.0,1.3018,0.2655,2.9677,1.1287,2.515,0.542,5.4337,5.7911,290000,1.64,11939.9925,3.631493068358292,2504.9925000000003,0.03600092250922509,34.97872340425533,0.8712241653418125
89,2009,SHLDQ,Finance,8.98,46770.0,12652.0,53.0,0.42,1283.0,9699.0,992.0,-637.0,-643.0,1.3412,0.301,1.0207,0.3907,0.8368,0.1133,4.5748,1.9705,291000,-0.3555,12618.399,3.7064924005018387,2919.399,0.027432114603378233,169.43396226415095,0.9258686462521909
98,2014,MCD,FOOD,108.48,27441.3,10455.7,4757.8,4.82,9593.701,12853.4,6730.3,-2304.9,-4618.3,1.5232,1.162,37.0159,13.9006,17.1211,17.3381,0.0221,47.0227,420000,1.6222,27789.050799999997,0.9874860497214248,14935.6508,0.3496081089452759,22.800453991340536,8.43979025005057
99,2013,MCD,FOOD,91.19,28105.7,10902.7,5585.9,5.55,10349.4,16009.7,7120.7,-2673.8,-4043.0,1.5931,0.8826,34.8907,15.2511,18.5335,19.8746,0.4311,42.5204,440000,1.4648,30139.861220000003,0.9325092705254334,14130.161220000002,0.3682313552055277,16.325032671548005,5.695921847380026
100,2012,MCD,FOOD,96.55,27567.0,10816.3,5464.8,5.36,10093.1,15293.6,6966.1,-3167.3,-3849.8,1.4464,0.8914,35.7326,15.4432,18.8923,19.8237,-0.3911,43.7548,440000,2.0693,28926.31504,0.9530076666135902,13632.71504,0.36612979286828456,17.66761821109647,6.313098289480567
101,2011,MCD,FOOD,88.56,27006.0,10686.6,5503.1,5.27,9944.701,14390.2,7150.1,-2570.9,-4533.0,1.2547,0.8687,38.242,16.6812,20.7476,20.3773,0.3369,46.8868,420000,3.1568,26890.966740000003,1.004277765879978,12500.766740000001,0.3682404280530252,16.092747724010103,6.154188267015052
102,2010,MCD,FOOD,102.66,24074.6,9637.3,4946.3,4.58,8749.3,14634.2,6341.6,-2056.0,-3728.7,1.4937,0.7862,33.7996,15.4692,18.9287,20.5457,0.463,41.0546,400000,1.64,26139.608040000003,0.9210008031933747,11505.40804,0.36342452211044,20.75490770879243,7.015074278060981
103,2009,MCD,FOOD,81.1,22744.7,8791.8,4551.0,4.11,8057.2,14033.9,5751.0,-1655.3,-4421.0,1.1431,0.7538,32.4286,15.0571,18.5044,20.0091,3.4305,39.2034,385000,-0.3555,24612.65382,0.9241059564864104,10578.75382,0.35424516480762547,17.820259283673916,5.778864036369078
118,2023,NVDA,ELEC,1000.35,26974.0,15356.0,4368.0,1.74,5768.0,22101.0,5641.0,7375.0,-11617.0,3.5156,0.4956,19.7638,10.6066,13.7341,16.1934,-1.689,27.2099,26196,3.7,33054.255600000004,0.8160522604538701,10953.2556,0.213835545339957,229.01785714285714,45.26265779828967
119,2022,NVDA,ELEC,359.5,26914.0,17475.0,9752.0,3.85,11215.0,26612.0,9108.0,-9830.0,1865.0,6.6503,0.4113,36.6451,22.0698,25.9652,36.2339,1.3378,48.946,22473,8.0028,37557.5156,0.7166075702834828,10945.5156,0.4166976294865126,36.8642329778507,13.50894333383436
120,2021,NVDA,ELEC,735.86,16675.0,10396.0,4332.0,1.73,5630.0,16893.0,5822.0,-19675.0,3804.0,4.0904,0.4122,25.6438,15.0464,18.9526,25.979,0.1419,43.4809,18975,4.6979,23856.294599999997,0.6989769484151156,6963.2946,0.3376311844077961,169.86611265004618,43.560054460427395
121,2020,NVDA,ELEC,323.24,10918.0,6768.0,2796.0,1.13,3227.0,12204.0,4761.0,6145.0,-792.0,7.6738,0.1631,22.9105,16.1479,19.6971,25.6091,0.471,24.2351,13775,1.2336,14194.4724,0.7691726534337409,1990.4723999999999,0.29556695365451546,115.60801144492132,26.486397902327106
122,2019,NVDA,ELEC,144.0,11716.0,7171.0,4141.0,1.6575,4066.0,9342.0,3743.0,-4097.0,-2866.0,7.9436,0.2128,44.3267,31.1541,36.549,35.3448,0.1057,47.7129,13277,1.8122,11329.9776,1.034070888189576,1987.9776,0.34704677364288156,34.7742091282299,15.414258188824663
123,2018,NVDA,ELEC,81.44,9714.0,5822.0,3047.0,1.205,3409.0,7471.0,3502.0,1278.0,-2544.0,8.0269,0.2677,40.7844,27.1061,32.2229,31.3671,0.5725,44.8022,11528,2.4426,9470.9867,1.0256587098786656,1999.9867,0.35093679225859586,26.72792911060059,10.900816490429662
124,2017,NVDA,ELEC,117.26,6910.0,4063.0,1666.0,0.6425,2121.0,5762.0,1672.0,-793.0,291.0,4.774,0.4877,28.9136,16.9292,21.4249,24.11,0.0975,33.0556,10299,2.1301,8572.1274,0.8061009452565999,2810.1274000000003,0.3069464544138929,70.38415366146458,20.35057271780632
125,2016,NVDA,ELEC,57.53,5010.0,2811.0,614.0,0.27,973.0,4469.0,1175.0,-400.0,-676.0,2.5746,0.3379,13.7391,8.3311,13.4472,12.2555,0.124,16.6621,9227,1.2616,5979.075099999999,0.8379222398460927,1510.0750999999998,0.19421157684630738,93.6970684039088,12.873125978966211
126,2015,NVDA,ELEC,17.73,4682.0,2599.0,631.0,0.28,1007.0,4418.0,906.0,-727.0,-834.0,6.3761,0.3164,14.2825,8.7627,10.8494,13.4772,0.1033,17.6356,9228,0.1186,5815.8552,0.8050406757032053,1397.8552,0.2150790260572405,28.09825673534073,4.013128112267995
127,2014,NVDA,ELEC,10.9,4130.0,2268.0,440.0,0.185,740.0,4456.398,835.0,-806.0,390.0,5.949,0.3083,9.8734,6.0682,7.5468,10.6538,-0.0022,12.5099,8808,1.6222,5830.3055034,0.7083676828926975,1373.9075034000002,0.1791767554479419,24.772727272727273,2.4459215716370037
128,2013,NVDA,ELEC,9.11,4280.159,2226.343,562.536,0.225,874.4742,4827.703,824.172,-743.992,-15.27,4.8916,0.0039,11.6523,8.7728,11.6066,13.1429,-0.0561,14.5195,7974,1.4648,4846.5310417,0.8831386744814212,18.8280417,0.20430881189226852,16.19451910633275,1.8870257760264042
129,2012,NVDA,ELEC,7.66,3997.93,2056.517,581.09,0.235,852.5038,4145.724,909.156,-1143.364,236.723,4.1995,0.0052,14.0166,10.4646,13.9445,14.5348,0.0671,18.2816,7133,2.0693,4167.281764800001,0.959361575636552,21.5577648,0.2132362997851388,13.182123251131495,1.8476869178941966
130,2011,NVDA,ELEC,8.46,3543.309,1409.09,253.146,0.1075,442.7361,3181.462,675.797,-649.678,192.021,3.4232,0.0074,7.9569,5.6314,7.8988,7.1443,0.0588,10.034,6029,3.1568,3205.0048188,1.105554968034858,23.542818800000003,0.12494989852705479,33.41944964565903,2.659154816244859
131,2010,NVDA,ELEC,8.95,3326.445,1176.923,-67.987,-0.03,97.7189,2665.14,487.807,-519.333,61.059,3.1628,0.0092,-2.551,-1.8959,-2.5278,-2.0438,0.2588,-3.1261,5706,1.64,2689.6592880000003,1.2367532998848736,24.519288,0.029376376281585896,-131.64281406739525,3.358172553787043
132,2009,NVDA,ELEC,10.37,3424.859,1174.269,-30.041,-0.0125,114.3228,2394.652,249.36,-209.367,-349.274,2.7845,0.0107,-1.2545,-0.8966,-1.2412,-0.8771,-0.0722,-1.5999,5420,-0.3555,2420.2747764,1.4150703190380114,25.6227764,0.03338029390407021,-345.19490030291934,4.330483093159256
133,2022,INTC,ELEC,109.08,63054.0,26866.0,8014.0,1.94,15369.0,103286.0,15433.0,-10477.0,1361.0,1.5676,0.4071,7.7619,4.4025,5.687,12.7097,-4.564,11.506,131900,8.0028,145333.7306,0.4338566122240586,42047.7306,0.2437434579883909,13.61118043424008,1.056096663633019
134,2021,INTC,ELEC,209.45,79024.0,43815.0,19868.0,4.86,31248.0,95391.0,29456.0,-24449.0,-6045.0,2.1323,0.3994,20.828,11.7977,15.4134,25.1417,-2.8278,32.4864,121100,4.6979,133490.1654,0.5919836848145819,38099.1654,0.3954241749341972,10.542077712905174,2.1956998039647346
135,2020,INTC,ELEC,104.16,77867.0,43612.0,20899.0,4.94,35917.0,81038.0,35864.0,-21524.0,-12669.0,1.9087,0.4492,25.7891,13.6514,18.1833,26.8394,1.2739,46.4,110600,1.2336,117440.2696,0.6630349220519841,36402.2696,0.46126086789012033,4.983970524905498,1.2853229349194206
136,2019,INTC,ELEC,260.35,71965.0,42140.0,21048.0,4.71,32861.0,77504.0,33145.0,-14405.0,-17565.0,1.4002,0.3742,27.1573,15.4171,20.4723,29.2476,0.7539,52.0977,110800,1.8122,106505.99680000001,0.675689652810235,29001.996799999997,0.45662474814145765,12.36934625617636,3.3591814616019824
137,2018,INTC,ELEC,214.19,70848.0,43737.0,21053.0,4.48,32401.0,74563.0,29432.0,-11239.0,-18607.0,1.7314,0.3535,28.2352,16.4524,21.1246,29.7157,0.8946,55.0924,107400,2.4426,100921.0205,0.7020143043440589,26358.0205,0.45733118789521227,10.17384695767824,2.8726043748239745
138,2017,INTC,ELEC,216.03,62761.0,39098.0,9601.0,1.99,26179.0,69019.0,22110.0,-15762.0,-8475.0,1.6934,0.3885,13.9107,7.7899,10.2078,15.2977,-0.3622,30.1113,102700,2.1301,95832.8815,0.6549004790177367,26813.8815,0.4171220981182582,22.50078116862827,3.1300076790449007
139,2016,INTC,ELEC,171.88,59387.0,36233.0,10316.0,2.12,20923.0,66226.0,21808.0,-25817.0,-5739.0,1.749,0.3818,15.577,9.1029,11.8745,17.3708,0.1101,24.1972,106000,1.2616,91511.08679999999,0.6489596187376938,25285.086799999997,0.35231616347011974,16.661496704148895,2.5953552985232387
140,2015,INTC,ELEC,162.57,55355.0,34679.0,11420.0,2.33,22713.0,61085.0,19018.0,-8183.0,1912.0,2.4492,0.3711,18.6953,11.2558,14.0777,20.6305,0.3492,24.9236,107300,0.1186,83753.6435,0.6609264706197527,22668.6435,0.41031523800921327,14.235551663747811,2.661373495948269
141,2014,INTC,ELEC,175.46,55870.0,35609.0,11704.0,2.31,23896.0,55865.0,20418.0,-9905.0,-13611.0,1.7319,0.2444,20.9505,12.7356,17.231,20.9486,0.0651,28.8574,106700,1.6222,69518.406,0.8036720519742642,13653.406,0.4277071773760516,14.991455912508544,3.140785822966079
142,2013,INTC,ELEC,129.02,52708.0,31521.0,9620.0,1.89,20323.0,58256.0,20776.0,-18073.0,-5498.0,2.3647,0.2308,16.5133,10.416,13.4694,18.2515,0.452,22.5859,107600,1.4648,71701.48479999999,0.7351033266189769,13445.4848,0.3855771419898308,13.411642411642413,2.2147074979401267
143,2012,INTC,ELEC,102.61,53341.0,33151.0,11005.0,2.13,22160.0,51203.0,18884.0,-14060.0,-1408.0,2.4312,0.2626,21.4929,13.0467,17.1047,20.6314,-0.3622,31.2128,105000,2.0693,64648.90779999999,0.8250874116082129,13445.9078,0.4154402804596839,9.32394366197183,2.0039841415542057
144,2011,INTC,ELEC,123.48,53999.0,33757.0,12942.0,2.39,23541.0,45911.0,20963.0,-10301.0,-11100.0,2.151,0.1597,28.1893,18.1977,24.4212,23.9671,-0.1314,42.5864,100100,3.1568,53242.9867,1.0141993029853826,7331.9867,0.43595251763921555,9.541029207232267,2.689551523600009
145,2010,INTC,ELEC,117.31,43623.0,28491.0,11464.0,2.01,20226.0,49430.0,16692.0,-10539.0,-4642.0,3.3892,0.0428,23.1924,18.1433,22.2572,26.2797,0.8374,26.0315,82500,1.64,51545.604,0.8462991334818776,2115.604,0.46365449418884536,10.232903000697837,2.373255108233866
146,2009,INTC,ELEC,112.65,35127.0,19561.0,4369.0,0.77,10763.0,41704.0,11170.0,-7965.0,-2568.0,2.7871,0.0533,10.4762,8.2286,9.9856,12.4377,1.1789,11.7185,79800,-0.3555,43926.8232,0.7996708489495321,2222.8232,0.30640248242092977,25.78393224994278,2.7011797429503166
147,2022,AMZN,LOGI,856.94,513983.0,225152.0,-2722.0,-0.27,54169.0,146043.0,46752.0,-37601.0,9718.0,0.9446,0.4598,-1.8638,-0.5883,-1.2768,-0.5296,-0.2546,-2.1645,1541000,8.0028,213193.5714,2.4108747586748294,67150.5714,0.10539064521589235,-314.81998530492285,5.867723889539382
148,2021,AMZN,LOGI,1691.0,469822.0,197478.0,33364.0,3.24,59312.0,138245.0,46327.0,-58154.0,6291.0,1.1358,0.3526,24.134,7.9334,17.8428,7.1014,-3.9226,27.153,1608000,4.6979,186990.187,2.5125489606574916,48745.187000000005,0.12624355607017126,50.68337129840547,12.23190712141488
149,2020,AMZN,LOGI,1634.16,386064.0,152757.0,21331.0,2.09,48079.0,93404.0,66064.0,-59611.0,-1104.0,1.0502,0.3406,22.8374,6.6411,17.0348,5.5252,0.4798,27.2124,1298000,1.2336,125217.4024,3.083149726798677,31813.402400000003,0.12453634630527581,76.60962917819137,17.495610466361185
150,2019,AMZN,LOGI,916.15,280522.0,114986.0,11588.0,1.1505,36330.0,62060.0,38514.0,-24281.0,-10066.0,1.097,0.3773,18.6723,5.1446,13.5573,4.1309,0.622,24.4958,798000,1.8122,85475.238,3.281909551395458,23415.238,0.12950855904349748,79.06023472557818,14.762326780534966
151,2018,AMZN,LOGI,734.42,232887.0,93731.0,10073.0,1.007,27762.0,43549.0,30723.0,-12369.0,-7686.0,1.0981,0.5395,23.1303,6.1931,15.0245,4.3253,1.0975,34.7333,647500,2.4426,67043.68549999999,3.473660468740192,23494.6855,0.11920802792770743,72.90975876104437,16.86422191095088
152,2017,AMZN,LOGI,563.54,177866.0,65932.0,3033.0,0.3075,15584.0,27709.0,18365.0,-27084.0,9928.0,1.04,0.893,10.9459,2.3098,5.7824,1.7052,-0.2387,21.1226,566000,2.1301,52453.137,3.3909506689752416,24744.137,0.08761652030180023,185.80283547642597,20.337796383846403
153,2016,AMZN,LOGI,356.31,135987.0,47722.0,2371.0,0.245,12302.0,19285.0,17203.0,-9516.0,-3716.0,1.0448,0.399,12.2945,2.8429,8.7883,1.7435,0.3003,15.2958,341400,1.2616,26979.715,5.04034234609224,7694.715,0.0904645296976917,150.27836355967946,18.476017630282602
154,2015,AMZN,LOGI,316.83,107006.0,35355.0,596.0,0.0625,8514.0,13384.0,12039.0,-6450.0,-3882.0,1.0536,0.6147,4.4531,0.9205,2.7579,0.557,0.57,6.1922,230800,0.1186,21611.144800000002,4.95142672867566,8227.1448,0.07956563183372894,531.5939597315436,23.672295277943814
155,2014,AMZN,LOGI,143.7,88988.0,26236.0,-241.0,-0.026,4924.0,10741.0,6842.0,-5065.0,4432.0,1.1153,0.7695,-2.2437,-0.4422,-1.268,-0.2708,-0.0075,-3.2471,154100,1.6222,19006.1995,4.682051243332472,8265.199499999999,0.05533330336674608,-596.2655601659751,13.37864258448934
156,2013,AMZN,LOGI,182.54,74452.0,20271.0,274.0,0.0295,3998.0,9746.0,5475.0,-4276.0,-539.0,1.0716,0.3274,2.8114,0.6823,2.118,0.368,0.1748,3.8641,117300,1.4648,12936.8404,5.7550373737315335,3190.8404,0.05369902756138183,666.2043795620438,18.729735276010672
157,2012,AMZN,LOGI,113.63,61093.0,15122.0,-39.0,-0.0045,2835.0,8192.0,4180.0,-3595.0,2259.0,1.1207,0.3765,-0.4761,-0.1198,-0.3459,-0.0638,-0.1833,-0.6915,88400,2.0693,11276.288,5.417828987695241,3084.288,0.046404661745208124,-2913.5897435897436,13.870849609375
158,2011,AMZN,LOGI,78.72,48077.0,10789.0,631.0,0.0685,1945.0,7757.0,3903.0,-1930.0,-482.0,1.1741,0.0329,8.1346,2.4962,7.8757,1.3125,-0.049,10.8756,56200,3.1568,8012.2053,6.000470307469531,255.2053,0.04045593527050357,124.75435816164818,10.148253190666495
159,2010,AMZN,LOGI,80.79,34204.0,7643.0,1152.0,0.1265,1974.0,6864.0,3495.0,-3360.0,181.0,1.3254,0.2274,16.7832,6.1286,13.6736,3.368,-0.0544,20.8885,33700,1.64,8424.8736,4.059882868747135,1560.8736,0.057712548239971934,70.13020833333333,11.770104895104895
160,2009,AMZN,LOGI,58.24,24509.0,5531.0,902.0,0.102,1507.0,5257.0,3293.0,-2337.0,-280.0,1.3304,0.2007,17.1581,6.5301,17.1581,3.6803,0.3303,22.4211,24300,-0.3555,6312.0799,3.8828722684578185,1055.0799,0.061487616793830836,64.56762749445676,11.078561917443409
